Stop ID,Stop Name,Stop Sequence,Total Activity,Average Activity,Median Activity,Speed to Next Stop (Avg),Speed to Next Stop (Med),Distance to Next Stop,Distance Traveled
638,Washington Ave. at S.Broad St.,1,406,6.06,5,30.31,32.59,0.15,0
659,S. Broad at M L King,2,87,1.18,0,23.68,24.04,0.13000000000000003,0.15
4679,S. Broad at Erato,3,121,1.57,0,33.54,32.39,0.26,0.28
4680,S. Broad at Overpass,4,25,0.32,0,26.46,26.63,0.35,0.54
4681,S. Broad at Gravier,5,53,0.69,0,17.98,16.74,0.08999999999999997,0.89
4682,S. Broad at Tulane,6,400,5.19,5,28.35,27.92,0.10000000000000009,0.98
4683,S. Broad at Banks,7,97,1.24,1,18.37,16.5,0.21999999999999997,1.08
8295,S. Broad at Canal,8,1114,14.28,14,21.72,22.97,0.1499999999999999,1.3
4684,N. Broad at Bienville,9,118,1.53,1,22.8,23.85,0.14000000000000012,1.45
4685,N. Broad at St Louis,10,16,0.21,0,15.68,15.71,0.16999999999999993,1.59
