stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1386,N1386,Franklin at R E Lee,FRANKLIN AVE & ROBERT E LEE BLVD,30.022368,-90.05172,,,,,0
1387,N1387,Franklin at New York,FRANKLIN AVE & NEW YORK ST,30.024584,-90.051889,,,,,0
1388,N1388,Franklin at L C Simon,FRANKLIN AVE & LEON C SIMON DR,30.026215,-90.051982,,,,,0
1389,N1389,L C Simon at Press,PRESS DR & LEON C SIMON DR,30.0283,-90.045311,,,,,0
1390,N1390,Press at Pressburg,PRESS DR & PRESSBURG ST,30.019997,-90.043953,,,,,0
1391,N1391,Press at Prentiss,PRESS DR & PRENTISS AVE,30.018352,-90.043082,,,,,0
1392,N1392,Press at Odin,ODIN ST & PRESS DR,30.016371,-90.042738,,,,,0
1393,N1393,Press at Mithra,MITHRA ST & ST FERDINAND DR,30.014586,-90.043029,,,,,0
1394,N1394,Press at Mirabeau,MIRABEAU AVE & SEMINARY PL,30.009562,-90.042096,,,,,0
1395,N1395,Press at 4700 Press,PRESS DR & ST FERDINAND DR,30.007454,-90.041783,,,,,0
1396,N1396,Press at Stephen Girard,PRESS DR & DEMENT ST,30.005619,-90.041097,,,,,0
1397,N1397,Press and Chef Highway,UNNAMED ST & PRESS DR,30.004495,-90.04053,,,,,0
1399,N1399,Chef Highway at Louisa,LOUISA DR & CHEF MENTEUR HWY,30.005565,-90.036162,,,,,0
1404,N1404,Congress at Pauline,CONGRESS DR & STEPHEN GIRARD AVE,30.009729,-90.032727,,,,,0
1405,N1405,Congress at Mirabeau,MIRABEAU AVE & CONGRESS DR,30.011628,-90.03334,,,,,0
1406,N1406,Congress at DeBore Court,CONGRESS DR & DEBORE CIR,30.014283,-90.034227,,,,,0
1407,N1407,Congress at Mithra,CONGRESS DR & MITHRA ST,30.016082,-90.034819,,,,,0
1408,N1408,Congress at Mendez,CONGRESS DR & MENDEZ ST,30.018026,-90.035432,,,,,0
