Stop ID,Stop Name,Direction,Longitude,Latitude
2370,Chef Highway + Majestic Oaks,OUTBOUND,-90.01535,30.01039
2371,Chef Highway + Ray,OUTBOUND,-90.01202,30.01076
2377,Dwyer + Bergerac,INBOUND,-89.92687,30.03757
2378,Dwyer + Opposite Cannes,INBOUND,-89.92372,30.03855
2379,Dwyer + Cernay,INBOUND,-89.92206,30.03905
2380,Dwyer + Palace,INBOUND,-89.91705,30.04055
2381,Dwyer + Alcee Fortier,INBOUND,-89.91387,30.04152
2382,Alcee Fortier + Peltier,INBOUND,-89.91270,30.03877
2383,Michoud + Carriere Court 1,OUTBOUND,-89.92750,30.02735
2384,Michoud + Carriere Court 2,OUTBOUND,-89.92733,30.02543
2385,Michoud + Reserve Center,OUTBOUND,-89.92702,30.02267
2386,Michoud + Old Gentilly,OUTBOUND,-89.92673,30.02111
2387,Old Gentilly + Agriculture Building,OUTBOUND,-89.92084,30.02387
2388,NASA,OUTBOUND,-89.91897,30.02521
2863,Gentilly + New Orleans,INBOUND,-90.06682,29.99323
3575,Gentilly + Elysian Fields (Nearside),INBOUND,-90.05898,30.00005
4028,Chef Highway + Cerise,INBOUND,-89.98052,30.01571
4088,Chef Highway + Michoud (In),INBOUND,-89.92882,30.03088
4089,Chef Highway + 13001 Chef Highway,INBOUND,-89.93306,30.02938
4090,Chef Highway + Light Standard 429,INBOUND,-89.99466,30.01323
4116,Chef Highway + Majestic Oak,INBOUND,-90.01520,30.01068
4120,Chef Highway + Louisa,OUTBOUND,-90.03645,30.00513
4360,Gentilly + Franklin,OUTBOUND,-90.05040,30.00275
4609,Chef Highway + Arthur,INBOUND,-89.98381,30.01514
4612,Chef Highway + Crowder,INBOUND,-89.98772,30.01446
4644,Gentilly + Foy,INBOUND,-90.06097,29.99790
4645,Gentilly + Norman Mayer,INBOUND,-90.06149,29.99723
4646,Gentilly + Pauger,INBOUND,-90.06278,29.99569
4651,N. Broad + Agriculture,INBOUND,-90.06840,29.98724
4651,N. Broad + Agriculture,OUTBOUND,-90.06840,29.98724
4652,N. Broad + Republic,INBOUND,-90.07033,29.98510
